day,France,France^^,Germany,Iran (Islamic Republic of),Italy,Republic of Korea,Spain,United States of America
-5.0,12.0,,16.0,2.0,3.0,28.0,12.0,15.0
-4.0,12.0,,16.0,5.0,3.0,28.0,25.0,15.0
-3.0,12.0,,18.0,18.0,3.0,29.0,32.0,35.0
-2.0,18.0,,21.0,28.0,3.0,30.0,45.0,35.0
-1.0,38.0,,26.0,43.0,9.0,31.0,45.0,35.0
0.0,57.0,282.0,57.0,61.0,76.0,51.0,114.0,53.0
1.0,100.0,,57.0,95.0,124.0,104.0,151.0,53.0
2.0,100.0,,129.0,141.0,229.0,204.0,198.0,59.0
3.0,191.0,,157.0,245.0,322.0,346.0,257.0,59.0
4.0,212.0,,196.0,388.0,400.0,602.0,374.0,62.0
5.0,,,262.0,593.0,650.0,763.0,430.0,62.0
6.0,420.0,,534.0,978.0,888.0,977.0,589.0,
7.0,613.0,,639.0,1501.0,1128.0,1261.0,1024.0,
8.0,706.0,,795.0,2336.0,1689.0,1766.0,1639.0,
9.0,1116.0,,1112.0,2922.0,2036.0,2337.0,2140.0,
10.0,1402.0,,1139.0,3513.0,2502.0,3150.0,2965.0,148.0
11.0,1774.0,,1296.0,4747.0,3089.0,3736.0,4231.0,213.0
12.0,2269.0,,1567.0,5823.0,3858.0,4212.0,5753.0,213.0
13.0,2860.0,,2369.0,6566.0,4636.0,4812.0,7753.0,213.0
14.0,3640.0,,3062.0,7161.0,5883.0,5328.0,9191.0,472.0
15.0,4469.0,,3795.0,8042.0,7375.0,5766.0,,696.0
16.0,5380.0,,4838.0,9000.0,9172.0,6284.0,,987.0
17.0,6573.0,,6012.0,10075.0,10149.0,6767.0,,1264.0
18.0,,,,11364.0,12462.0,7134.0,,1678.0
19.0,,,,12729.0,15113.0,7382.0,,
20.0,,,,14991.0,17660.0,7513.0,,1678.0
21.0,,,,14991.0,21157.0,7755.0,,3503.0
22.0,,,,,24747.0,7869.0,,
23.0,,,,,27980.0,7979.0,,
24.0,,,,,,8086.0,,
25.0,,,,,,8162.0,,
26.0,,,,,,8236.0,,
27.0,,,,,,8320.0,,
